"Customer ID",total_sales
CG-12520,1148.7800000000002
DV-13045,1119.4830000000002
SO-20335,2602.575500000001
BH-11710,6255.351000000001
AA-10480,1782.872
IM-15070,4930.473999999999
HP-14815,1990.314
PK-19075,8158.654
AG-10270,2565.2579999999994
ZD-21925,1493.944
KB-16585,2742.7580000000003
SF-20065,763.5459999999998
EB-13870,2767.219
EH-13945,684.171
TB-21520,4730.628
MA-17560,4280.620999999999
GH-14485,1361.2440000000001
SN-20710,3127.9592000000007
LC-16930,4481.162
RA-19885,3832.3139999999994
ES-14080,4648.516
ON-18715,1567.52
PO-18865,2493.2140000000004
LH-16900,2295.3320000000003
DP-13000,1034.188
JM-15265,1804.1460000000002
TB-21055,1467.881
KM-16720,4909.472000000001
PS-18970,1278.6390000000001
BS-11590,2454.9280000000003
KD-16270,8282.358
HM-14980,736.276
JE-15745,6400.454999999999
KB-16600,974.214
SC-20770,4492.656999999999
DN-13690,2139.7900000000004
JC-16105,858.576
CS-12400,3651.8585000000007
PG-18895,1987.1640000000002
GM-14455,3078.6240000000003
JS-15685,1131.0639999999999
KB-16315,1569.4640000000002
RB-19705,2067.45
PN-18775,1467.152
KD-16345,1888.964
ER-13855,1245.788
RB-19465,4556.566000000002
GZ-14470,4355.15
LC-16870,2526.182
JM-15250,3145.3740000000003
PA-19060,729.408
CV-12805,2370.3136
CL-12565,10880.545999999998
RC-19960,850.192
DK-13090,2650.557
GG-14650,2216.0080000000007
SC-20725,5226.209999999998
AD-10180,6100.999999999999
PF-19165,2770
TS-21610,2801.8840000000005
LS-16975,2988.674
DW-13585,1204.854
LC-16885,7396.7739999999985
JD-15895,6456.456
SH-19975,2774.2394999999997
SG-20080,3406.581
HA-14920,2584.1580000000004
MG-17680,2350.188
JE-16165,2697.248
TW-21025,5164.626
SP-20650,1598.516
NK-18490,572.048
DB-13060,4265.294000000002
NP-18670,3896.6420000000003
TT-21070,4915.602
EM-13960,933.704
RD-19900,3133.9239999999995
MJ-17740,6282.226
BM-11140,11609.900000000001
CS-12130,884.64
JB-15400,1791.605
SJ-20500,1190.3759999999997
JK-15640,4752.442000000001
DK-13150,797.832
RM-19675,5967.736
SK-19990,883.409
FM-14290,3736.1979999999994
AM-10360,814.0120000000001
MP-17470,3206.132
MZ-17515,2564.906
CB-12025,6028.226999999999
VM-21685,2454.866
FH-14365,6683.659999999999
MB-17305,1427.3259999999996
BS-11755,2492.3500000000004
LC-17140,2605.1120000000005
HK-14890,4877.784
LE-16810,1469.4500000000003
JH-15985,7954.998
MS-17980,855.1160000000001
VW-21775,6112.702
JH-15910,959.4770000000002
JB-15925,900.552
DS-13180,2881.8128
VD-21670,6283.354
EA-14035,2660.8250000000007
DB-13120,2931.718
KL-16645,14071.917
DW-13480,5256.848
LH-17155,1660.3049999999998
KC-16540,3908.2619999999997
DL-13315,1446.0660000000003
DR-12880,6247.205999999999
CC-12670,2269.7015000000006
Dl-13600,755.602
SB-20290,8057.890999999999
RC-19825,966.4089999999999
AH-10210,4805.344
CB-12535,4123.5154999999995
CA-12310,1401.0739999999998
KH-16690,5867.859
BB-10990,735.52
AG-10495,2338.679
JO-15280,1911.5520000000001
AH-10195,1587.452
NZ-18565,2488.31
KL-16555,4483.784
AS-10225,4249
CR-12625,475.9
SH-20395,2180.718
BP-11185,3610.2929999999997
TS-21205,5371.09
AG-10525,1448.9419999999998
SP-20860,4028.588
NM-18445,6459.343999999999
FA-14230,2984.053999999999
GK-14620,6497.27
DJ-13510,2501.688
PO-18850,7367.3342
JL-15850,2725.2560000000003
DB-13615,1989.05
AC-10420,891.56
CC-12550,113.832
TD-20995,1434.5480000000002
AB-10060,7732.669999999999
JL-15505,3142.746
VB-21745,2005.5959999999998
KW-16435,4416.52
JD-16060,695.4420000000001
MK-17905,2302.3680000000004
GT-14755,226.43599999999998
AG-10900,4510.7970000000005
MM-18280,775.4140000000001
AR-10405,2236.128
RA-19915,4781.367000000001
AS-10285,3212.272
LA-16780,8631.521999999999
DO-13435,1197.3115000000003
DK-13225,4125.843999999999
NG-18430,1395.938
MV-18190,1734.5739999999998
JG-15115,2358.676
BP-11095,2399.54
VP-21730,993.9019999999999
SS-20140,1289.548
AG-10675,3489.0395999999996
LF-17185,3930.509
RF-19840,915.662
KH-16510,5952.859000000002
KC-16675,1146.0500000000002
CJ-12010,11079.742
PB-19150,1456.9499999999998
MP-17965,3983.6420000000003
NF-18385,8322.826000000001
SD-20485,5920.258
KH-16630,3918.966
RB-19795,5633.315999999999
MK-18160,1031.6019999999999
PO-19180,4893.043000000001
BB-11545,6765.727999999999
TB-21595,1387.559
RB-19360,15117.339
EB-13705,3448.2740000000003
SC-20095,14142.333999999999
TN-21040,3130.221
JS-15940,469.169
MH-17785,2203.7780000000002
JP-15520,3572.9440000000004
JE-15475,1388.682
JG-15805,1507.0180000000003
XP-21865,2320.4080000000004
EM-14065,228.99
MT-18070,1319.4497999999999
SA-20830,4708.525500000001
CW-11905,1136.592
AJ-10960,629.2479999999999
SS-20590,418.49
RO-19780,3815.478
MD-17350,3766.382
MY-17380,2242.6119999999996
CM-12385,8954.02
LS-17245,1008.1359999999999
BN-11515,1459.344
DB-13210,2204.829
MC-17605,2258.192
BD-11605,3288.471
PH-18790,729.648
MG-18145,2890.591
KB-16240,3152.615
JC-15340,67.335
RL-19615,6234.909999999999
AA-10375,1056.39
EP-13915,5478.0608
DK-12985,1687.04
BD-11500,4408.2970000000005
LM-17065,1346.774
AS-10135,58.82
BD-11320,5672.171
GT-14710,11820.119999999997
AJ-10945,1839.2400000000002
OT-18730,3818.6240000000003
LP-17080,756.606
CA-12775,3041.5659999999993
JF-15490,1082.918
FP-14320,4046.7460000000005
EB-13840,4344.508
JF-15415,2371.448
SF-20200,3422.785999999999
TG-21640,2074.661
CS-11950,3027.7549999999997
CC-12145,2471.6500000000005
DV-13465,3285.9870000000005
BD-11725,1526.5
ZC-21910,8021.135000000001
MS-17830,370.348
LR-16915,5142.891999999999
TP-21130,4454.056
CK-12205,3154.855
AS-10240,574.24
AR-10510,264.86400000000003
NB-18655,1972.599
GD-14590,1888.0700000000002
CK-12595,2372.7500000000005
NG-18355,1869.58
CA-12265,2648.2871999999998
SF-20965,3306.871
MO-17800,1396.3229999999999
AT-10735,3831.8640000000005
FM-14380,2523.2659999999996
DJ-13420,2012.5200000000002
ME-17725,1908.4532
JD-16150,8828.030499999999
JL-15835,9403.003
SC-20305,3971.0639999999994
CC-12430,2870.0500000000006
AR-10825,4523.335999999999
SR-20740,4345.8859999999995
CR-12730,1600.55
EH-14125,3013.1530000000002
SP-20545,1306.0859999999998
TH-21235,1022.2010000000001
RP-19390,5142.139999999999
RB-19570,476.802
CD-11980,614.982
DJ-13630,3356.3979999999997
GT-14635,9351.211999999998
MC-17845,3805.714000000001
RA-19285,2606.0820000000003
NP-18325,5529.62
AB-10165,1113.838
JO-15550,1088.358
JK-15370,2709.632
BN-11470,265.296
DP-13165,1058.616
TH-21550,4229.5560000000005
AP-10915,3323.556
RS-19765,3831.93
SV-20365,11420.645999999997
CK-12325,2939.606
RD-19810,1137.6159999999998
MR-17545,639.178
SC-20695,2576.408
JF-15355,1911.844
EG-13900,1832.02
DS-13030,1762.2130000000002
PO-19195,1056.8580000000002
SS-20875,883.22
PB-19105,688.324
RF-19735,2341.2960000000003
YC-21895,5454.35
DC-13285,1174.618
CP-12340,5888.275000000001
LH-17020,318.239
CS-12250,2696.7959999999994
AJ-10795,4391.491
BV-11245,1523.2730000000001
DL-12865,1490.818
BM-11785,1335.896
LT-17110,2936.2519999999995
JK-15730,4769.900000000001
ES-14020,3510.4579999999996
RH-19495,3621.3759999999997
CD-11920,2033.968
HW-14935,9300.253999999997
MC-18130,1581.9979999999998
GM-14440,3582.8199999999997
PJ-19015,1824.2340000000002
BW-11110,4750.357999999999
TR-21325,645.072
PG-18820,3086.907
JL-15175,1571.523
BM-11650,7283.817
EM-14095,1041.042
AF-10885,861.5649999999999
CK-12760,1582.1090000000004
DP-13105,2164.89
BK-11260,659.138
SJ-20125,3777.8799999999997
CM-12445,287.98999999999995
AJ-10780,4867.344
LS-16945,2845.27
GP-14740,221.79999999999998
PK-18910,1441.152
SM-20005,233.134
GA-14725,975.566
PM-19135,4115.662
LL-16840,2741.204
JS-15595,1181.734
EL-13735,124.28
PC-18745,1832.064
HL-15040,12873.297999999999
MS-17365,6848.31
GB-14530,1356.48
JR-16210,2201.6859999999997
